id,status,recalculado,fonte,trecho
D20,CONFERE,os 17% que aparecem em três ou mais ciclos ficam com 47%,analise/tabelas/03_proponentes_recorrencia.csv,os 17% que aparecem em três ou mais ciclos ficam com 47% do valor
D21,CONFERE,49%; 67%,analise/tabelas/03_territorio_rmgv_interior.csv,| Parcela da RMGV: população; valor atribuível | 49%; 67% |
D22,CONFERE,49% da população e fica com 67%,analise/tabelas/03_territorio_rmgv_interior.csv,A RMGV tem 49% da população e fica com 67% do valor
D23,CONFERE,8%; 48%,analise/tabelas/03_municipios.csv,| Vitória: população; valor atribuível | 8%; 48% |
D24,CONFERE,"8% da população, fica com 48%",analise/tabelas/03_municipios.csv,"Vitória, com 8% da população, fica com 48%"
D25,CONFERE,"0,88",analise/tabelas/03_territorio_indicadores.csv,"entre os 78 municípios | 0,88 |"
D26,CONFERE,"é 0,88, acima do Gini da população (0,64) e do PIB (0,75)",analise/tabelas/03_territorio_indicadores.csv,"O Gini do valor entre os 78 municípios é 0,88, acima do Gini da população (0,64) e do PIB (0,75)"
D27,CONFERE,14,analise/tabelas/03_territorio_rmgv_interior.csv,Municípios sem nenhum projeto habilitado em 2022-2026 | 14 |
D28,CONFERE,14 municípios do interior,analise/tabelas/03_territorio_rmgv_interior.csv,14 municípios do interior não tiveram nenhum projeto habilitado
D29,CONFERE,26; 44%,analise/tabelas/03_patrocinadores_concentracao.csv,Empresas (raiz do CNPJ); maior empresa (distribuidora de energia) | 26; 44% |
D30,CONFERE,2; 52%,analise/tabelas/03_patrocinadores_concentracao.csv; 03_patrocinadores_macrossetor.csv,parcela de energia e gás | 2; 52% |
D31,CONFERE,"26 empresas patrocinadoras (46 estabelecimentos), das quais a distribuidora de energia respondeu por 44% da renúncia, e empresas de energia e gás, serviços regulados, por 52%",analise/tabelas/03_patrocinadores_concentracao.csv; 03_patrocinadores_macrossetor.csv; 03_captados_resumo.csv,"em 2025, 26 empresas patrocinadoras (46 estabelecimentos), das quais a distribuidora de energia respondeu por 44% da renúncia, e empresas de energia e gás, serviços regulados, por 52%"
D32,CONFERE,74%,analise/tabelas/03_territorio_indicadores.csv,projetos com um único município de execução (74% do valor autorizado)
D33,CONFERE,74%,analise/tabelas/03_territorio_indicadores.csv,o retrato territorial cobre 74% do valor
D34,CONFERE,78% contra 27% no ciclo 2024,analise/tabelas/03_status_conversao_por_faixa_valor_e_ciclo.csv,78% contra 27% no ciclo 2024
D35,CONFERE,triplicou,analise/tabelas/03_bunching_teto.csv,A parcela de pedidos no teto exato triplicou entre 2022 e 2026
D36,CONFERE,subiu de 16% para 45% à medida que a habilitação quase dobrou,analise/tabelas/03_status_por_ciclo.csv,subiu de 16% para 45% à medida que a habilitação quase dobrou
D37,CONFERE,explica só 7%,analise/tabelas/03_territorio_indicadores.csv,a diferença entre RMGV e interior explica só 7% do total
D38,CONFERE,interior (R\$ 93) que na RMGV (R\$ 59) em 2025,analise/tabelas/03e_f13_municipal_rmgv_interior.csv,maior por habitante no interior (R\$ 93) que na RMGV (R\$ 59) em 2025
D39,CONFERE,"1,1 a 1,9 vez",analise/tabelas/03_anual.csv ÷ dados/externos/licc_teto_vs_icms.csv,"O valor autorizado de cada ciclo foi de 1,1 a 1,9 vez o teto"
D41,CONFERE,"coortes de 39, 16, 3, 3 e 3 municípios entre 2022 e 2026, e 14 nunca",analise/tabelas/03_coortes_primeira_presenca_canonico.csv,"coortes de 39, 16, 3, 3 e 3 municípios entre 2022 e 2026, e 14 nunca tratados"
D42,CONFERE,"os 305 projetos habilitados nos ciclos 2022-2024, dos quais 293 já tinham situação resolvida (198 captaram e 95 tiveram o prazo expirado), de 199 proponentes",analise/tabelas/03_status_por_ciclo.csv; 05_poder_d1_proponente.csv,"A população são os 305 projetos habilitados nos ciclos 2022-2024, dos quais 293 já tinham situação resolvida (198 captaram e 95 tiveram o prazo expirado), de 199 proponentes"
D43,CONFERE,"$n$ = 293 projetos, $P$ = 0,676",analise/tabelas/05_poder_d1_proponente.csv,"em que $n$ = 293 projetos, $P$ = 0,676 é a fração tratada"
D44,CONFERE,"$\bar m$ = 1,47",analise/tabelas/05_poder_d1_proponente.csv,"$\bar m$ = 1,47 projeto por proponente"
D45,CONFERE,"| 0,35 | 0,41 |",analise/tabelas/05_poder_d1_proponente.csv,"| Sem covariáveis, sem correlação intraproponente | 0,35 | 0,41 |"
D46,CONFERE,"| 0,39 | 0,45 |",analise/tabelas/05_poder_d1_proponente.csv,"| Sem covariáveis, ρ = 0,2 | 0,39 | 0,45 |"
D47,CONFERE,"| 0,29 | 0,34 |",analise/tabelas/05_poder_d1_proponente.csv,"| R² = 0,3, ρ = 0 | 0,29 | 0,34 |"
D48,CONFERE,"| 0,25 | 0,29 |",analise/tabelas/05_poder_d1_proponente.csv,"| R² = 0,5, ρ = 0 | 0,25 | 0,29 |"
D49,CONFERE,"| 0,28 | 0,32 |",analise/tabelas/05_poder_d1_proponente.csv,"| R² = 0,5, ρ = 0,2 | 0,28 | 0,32 |"
D50,CONFERE,"| 0,53 a 0,58 | 0,62 a 0,67 |",analise/tabelas/licc_emd_ilustrativo.csv,"| Um ciclo isolado (2023 ou 2024), sem covariáveis | 0,53 a 0,58 | 0,62 a 0,67 |"
D51,CONFERE,"| 0,43 a 1,04 |",analise/tabelas/05_poder_mde_municipal_did.csv,"| Municipal, 78 municípios, 25% a 50% tratados | 0,43 a 1,04 |"
D52,CONFERE,"Com poder de 17%, a estimativa significativa superestima em média o efeito verdadeiro 2,5 vezes",analise/tabelas/05_poder_tipo_m.csv,"Com poder de 17%, a estimativa significativa superestima em média o efeito verdadeiro 2,5 vezes"
D54,CONFERE,"71% dos projetos de proponentes já habilitados antes foram executados, contra 57%",analise/tabelas/03_status_conversao_recorrencia_2023_2024.csv,"71% dos projetos de proponentes já habilitados antes foram executados, contra 57% dos de estreantes"
D55,CONFERE,(68% e 63%),analise/tabelas/03_status_conversao_rmgv_interior_2022_2024.csv,a taxa de execução pouco difere entre RMGV e interior (68% e 63%)
D56,CONFERE,"(42 de 63), 61% do valor captado",analise/tabelas/03_captados_perfil_territorial.csv (casamento principal),"com um único município identificado (42 de 63), 61% do valor captado ficou na RMGV"
D57,CONFERE,(69 dos 71 municípios do interior,analise/tabelas/03e_f13_municipal_rmgv_interior.csv,(69 dos 71 municípios do interior com dado no SICONFI)
D58,CONFERE,(3 expirados em 56 resolvidos,analise/tabelas/03_status_por_ciclo.csv,(3 expirados em 56 resolvidos no ciclo 2025)
D59,CONFERE,"$cv$ = 0,73",analise/tabelas/05_poder_deff_proponente.csv,"com coeficiente de variação $cv$ = 0,73 do tamanho das carteiras"
D60,CONFERE,"| 0,39 |",analise/tabelas/05_poder_deff_proponente.csv (EMD com efeito de desenho ajustado por cv),"| Sem covariáveis, ρ = 0,2 | 0,39 | 0,45 |"
D53,CONFERE,"0,25 a 0,45",analise/tabelas/05_poder_d1_proponente.csv,"O universo disponível detecta, portanto, efeitos a partir de 0,25 a 0,45 desvio-padrão"
